id,original_language,original_title,overview,popularity,poster_path,release_date,title,vote_average,vote_count,genre
772,en,Home Alone 2: Lost in New York,"Après Paris, c'est à Miami que la tribu McCallister décide de passer les fêtes de Noël. À l'aube du jour J, toute la famille est sur le pied de guerre et file a l'aéroport en prenant bien garde de ne pas oublier Kevin. Mais celui-ci s'éclipse pour acheter des piles pour son walkman, il ne retrouve plus les siens et s'embarque par mégarde pour New York...",303.848,/gFhf8NwvEKCbNIOQZxLqj1i5DMy.jpg,1992-11-15,"Maman, j'ai encore raté l'avion !",6.7,9563,"['Comédie', 'Familial', 'Aventure']"
839033,en,The Lord of the Rings: The War of the Rohirrim,"Centré sur le puissant roi du Rohan, Helm Hammerhand, et sur une bataille légendaire qui a contribué à façonner la Terre du Milieu jusqu'aux événements du Seigneur des Anneaux.",293.439,/rHRa2hxJc8jP3x26ofj0X090GvR.jpg,2024-12-05,Le Seigneur des Anneaux : La Guerre des Rohirrim,7.2,20,"['Animation', 'Fantastique']"
259872,nl,Des jours plus belles que la nuit,"Wim et Floor, un jeune couple en chair et en os, passent un après-midi dans les pièces ensoleillées d'une maison en ruine en Belgique. Ce documentaire artistique érotique est monté presque en temps réel. Dans la lenteur, nous obtenons la construction, la douceur et la sexualité. Oubliez les montages rapides qui claquent des doigts. C'est vers la lenteur qu'il faut aller.",292.846,/uCkANtG6ezb7hjRKVudY3PUcbvn.jpg,2010-02-19,Des jours plus belles que la nuit,6.523,22,['Romance']
972614,en,Knox Goes Away,"Atteint d’une forme de démence à évolution rapide, un tueur à gages tente de sauver son fils qui ne lui parle plus depuis des années. Mais entre les pièges de la police et ceux de son esprit qui se détériore, le temps lui est compté…",287.115,/mKcS2Ta96mMwf7fkbvFKz0t9d5m.jpg,2024-03-15,Knox Goes Away,6.9,274,"['Crime', 'Thriller', 'Action']"
1100856,ru,Заклятье. Шепот ведьм,,286.353,/um3n8rQbr97uaGB2058TsktPtAy.jpg,2024-06-13,Заклятье. Шепот ведьм,6.8,12,"['Horreur', 'Thriller']"
857598,te,పుష్పా 2 - The Rule,"Pushpa Raj est devenu une figure puissante et redoutée dans le commerce illégal de bois de santal rouge. Après avoir affronté des ennemis dans le premier volet, ce second chapitre met en lumière sa montée en puissance et sa rivalité intense avec l’officier de police Bhanwar Singh.",284.611,/ng47E4sph3ykXL5GDUG3kLEXbiB.jpg,2024-12-04,Pushpa: The Rule - Part 2,6.6,12,"['Crime', 'Action', 'Thriller']"
299536,en,Avengers: Infinity War,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",283.091,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,2018-04-25,Avengers: Infinity War,8.2,29796,"['Aventure', 'Action', 'Science-Fiction']"
1138194,en,Heretic,"eux jeunes missionnaires mormones se rendent chez M. Reed, un homme excentrique, pour prêcher et tenter de le convertir. Ce dernier va cependant s'avérer bien plus dangereux qu'elles n'auraient pu l'imaginer.",281.072,/61YrcFVQPO4h15SJiLe0vjiWbjk.jpg,2024-10-31,Heretic,7.0,166,"['Horreur', 'Thriller']"
978796,en,Bagman,"Lorsqu’une menace sinistre de son enfance revient le hanter, un père lutte désespérément contre sa plus grande peur. Mais cette fois, il ne se bat pour lui-même, mais pour sa famille.",278.65,/8Mxnebl5Eje3Z2EH5ucprr2UHBo.jpg,2024-09-20,Bagman,6.1,108,"['Horreur', 'Thriller']"
639720,en,IF,"Une petite fille découvre qu'elle peut voir les amis imaginaires des autres. Elle se lance dans un voyage magique pour reconnecter les amis imaginaires oubliés avec leurs enfants, avant qu'ils ne disparaissent.",270.989,/zC9tCqLSbBUpbyLcoPy5yySxt1D.jpg,2024-05-08,Blue & Compagnie,7.3,1061,"['Comédie', 'Fantastique', 'Familial']"
